Year,Month,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1995,8,32.3,8.4,20.4,2.958064516129032,0.0,2.958064516129032
1995,9,25.3,-1.1,13.006666666666666,1.5533333333333335,0.0,1.5533333333333335
1995,10,26.6,-2.7,10.845161290322581,6.051612903225807,0.0064516129032258064,6.058064516129033
1995,11,16.4,-19.5,-1.7866666666666666,1.0,3.1266666666666665,3.953333333333333
1995,12,3.0,-23.5,-9.212903225806452,0.18709677419354842,2.064516129032258,2.1838709677419357
1996,1,11.4,-29.3,-11.270967741935483,0.8709677419354839,1.3709677419354838,2.1516129032258067
1996,2,6.9,-27.6,-8.931034482758621,1.713793103448276,0.5655172413793104,2.3793103448275863
1996,3,16.1,-16.1,-3.296774193548387,0.11290322580645161,0.5483870967741935,0.6935483870967742
1996,4,17.6,-8.5,4.676666666666667,2.6666666666666665,0.46,3.286666666666667
1996,5,27.0,1.2,12.270967741935483,1.7032258064516128,0.012903225806451613,1.7161290322580645
1996,6,31.2,8.2,19.103333333333335,2.9733333333333336,0.0,2.9733333333333336
1996,7,30.1,11.6,20.080645161290324,4.809677419354839,0.0,4.809677419354839
1996,8,31.4,8.0,20.190322580645162,2.8,0.0,2.8
1996,9,29.8,1.7,16.583333333333332,4.1466666666666665,0.0,4.1466666666666665
1996,10,23.1,-2.7,8.180645161290322,2.8129032258064517,0.0,2.8129032258064517
1996,11,19.9,-14.7,-0.6300000000000001,1.9000000000000001,0.23333333333333334,2.0933333333333333
1996,12,12.4,-17.6,-2.061290322580645,1.567741935483871,1.632258064516129,3.103225806451613
1997,1,6.0,-29.8,-10.893548387096773,0.7645161290322581,2.5483870967741935,2.8483870967741933
1997,2,6.8,-26.0,-7.607142857142857,2.4214285714285713,1.3142857142857143,3.642857142857143
1997,3,11.1,-18.3,-4.612903225806452,0.5741935483870968,2.135483870967742,2.358064516129032
1997,4,21.8,-10.5,5.456666666666666,1.4066666666666667,0.21333333333333335,1.6733333333333333
1997,5,23.9,-0.3,10.62258064516129,2.2193548387096773,0.0,2.2193548387096773
1997,6,32.5,7.5,20.206666666666667,1.646666666666667,0.0,1.646666666666667
1997,7,31.9,9.5,20.951612903225808,1.8129032258064517,0.0,1.8129032258064517
1997,8,32.5,7.3,18.845161290322583,1.835483870967742,0.0,1.835483870967742
1997,9,24.8,0.5,14.643333333333334,3.1666666666666665,0.0,3.1666666666666665
1997,10,24.9,-5.9,7.493548387096775,0.3548387096774194,0.9161290322580645,1.1806451612903226
1997,11,14.8,-12.0,0.2066666666666666,1.2466666666666666,1.22,2.3800000000000003
1997,12,5.0,-20.1,-5.841935483870968,0.05806451612903226,0.8354838709677419,0.8096774193548387
1998,1,6.9,-25.7,-7.448387096774193,2.064516129032258,1.7516129032258063,3.796774193548387
1998,2,8.4,-21.7,-3.3,0.5678571428571428,0.2357142857142857,0.8035714285714286
1998,3,24.0,-20.3,-0.49032258064516127,2.458064516129032,1.6935483870967742,3.616129032258064
1998,4,24.1,-2.0,8.866666666666667,1.4133333333333333,0.0,1.4133333333333333
1998,5,30.9,4.6,17.51290322580645,1.103225806451613,0.0,1.103225806451613
1998,6,31.8,6.0,19.33,4.636666666666667,0.0,4.636666666666667
1998,7,31.7,10.5,20.858064516129033,1.9548387096774194,0.0,1.9548387096774194
1998,8,31.1,7.1,20.574193548387097,1.8548387096774193,0.0,1.8548387096774193
